name,address,phone,principal,grades,division
Broadway High,"269 Gobbler Dr, Broadway, VA 22815",540-896-7081,Mr. Bryan Huber,9-12,Rockingham County Public Schools
Brock Road Elementary,"10207 Brock Rd, Spotsylvania, VA 22553",540-972-3870,Barbara Dickinson,PK-5,Spotsylvania County Public Schools
Brooke Point High,"1700 Courthouse Rd, Stafford, VA 22554",540-658-6080,Mr. Scott W. McClellan,9-12,Stafford County Public Schools
Brookfield Elementary,"4200 Lees Corner Rd, Chantilly, VA 20151-2826",703-814-8700,Mrs. Mary L Miller,PK-6,Fairfax County Public Schools
Brookland Middle,"9200 Lydell Dr, Richmond, VA 23228",804-261-5000,Mr. Derrick D. Deloatch,6-8,Henrico County Public Schools
Brookneal Elementary,"133 Charlotte St., Brookneal, VA 24528",434-376-2042,Wendy Thomas,PK-5,Campbell County Public Schools
Brookville High,"100 Laxton Rd, Lynchburg, VA 24502",434-239-2636,Mr. Tom Cole,9-12,Campbell County Public Schools
Brookville Middle,"320 Bee Dr, Lynchburg, VA 24502",434-239-9267,Mr. Edwin R. Martin,6-8,Campbell County Public Schools
Brookwood Elementary,"601 S Lynnhaven Rd, Virginia Beach, VA 23452-6598",757-648-2160,Mike Taylor,PK-5,Virginia Beach Public Schools
Brosville Elementary,"195 Bulldog Ln., Danville, VA 24541",434-685-7787,Mrs. Felita F. Atkins,PK-5,Pittsylvania County Public Schools
Brownsville Elementary,"5870 Rockfish Gap Turnpike, Crozet, VA 22932-3401",434-823-4658,India Haun,PK-5,Albemarle County Public Schools
Brunswick High,"2171 Lawrenceville Plank Rd, Lawrenceville, VA 23868",434-848-2716,Dr. Virginia Glass Berry,9-12,Brunswick County Public Schools
Bruton High,"185 East Rochambeau Dr, Williamsburg, VA 23188",757-220-4050,Alexis Swanson,9-12,York County Public Schools
Bryant Alternative High,"2709 Popkins Ln, Alexandria, VA 22306",703-660-2001,Mr. Larry Jones,7-12,Fairfax County Public Schools
Buchanan County Technical & Career Center,"1124 Almarine Drive, Slate Creek Rd, State Rt. 83, Grundy, VA 24614",276-935-4541,Mrs. Sandra S. Cook,,Buchanan County Public Schools
Buchanan Elementary,"255 Schoolhouse Rd, Buchanan, VA 24066",540-254-2084,Ms. Debbie H. Garrett,PK-5,Botetourt County Public Schools
Buckingham Co Elementary,"40 Frank Harris Raod, Dillwyn, VA 23936",434-505-0000,Mrs. Cindy O'Brien,3-5,Buckingham County Public Schools
"Buckingham Co prekindergarten center</strong>, ",434-969-4490, ,PK,Buckingham County Public Schools,
Buckingham Co Primary,"128 Frank Harris Road, Dillwyn, VA 23936",434-505-0001,Mrs. Pennie Allen,KG-2,Buckingham County Public Schools
Buckingham County High,"78 Knights Rd., Buckingham, VA 23921",434-969-6160,Mr. Roger Coleman III,9-12,Buckingham County Public Schools
Buckingham County Middle,"1184 High School Rd., Buckingham, VA 23921",434-969-1044,Mr. J.B. Heslip,6-8,Buckingham County Public Schools
Buckland Mills Elementary,"10511 Wharfdale Place, Gainesville, VA 20155",703-530-1560,Ms. Connie S. Balkcom,PK-5,Prince William County Public Schools
Bucknell Elementary,"6925 University Dr, Alexandria, VA 22307",703-660-2900,Mr. Timothy H Slayter,PK-6,Fairfax County Public Schools
Buffalo Gap High,"1800 Buffalo Gap Hwy, Swoope, VA 24479",540-337-6021,Mr. William R. Deardorff,9-12,Augusta County Public Schools
Buffalo Trail Elementary,"42190 Seven Hills Drive, Aldie, VA 20105",703-722-2780,Alisa Rogaliner,KG-5,Loudoun County Public Schools
Buford Middle,"1000 Cherry Avenue, Charlottesville, VA 22903-3852",434-245-2411,Mr. Eric D. Johnson,7-8,Charlottesville Public Schools
Bull Run Elementary,"15301 Lee Hwy, Centreville, VA 20121",703-227-1400,Ms. Patrice Brown,PK-6,Fairfax County Public Schools
Bull Run Middle,"6308 Catharpin Rd., Gainesville, VA 20155",703-753-9969,Mr. Matthew T. Phythian,6-8,Prince William County Public Schools
Burke School,"9645 Burke Lake Rd, Burke, VA 22015",703-426-7300,Mrs. Jill Jakulski,,Fairfax County Public Schools
Burkeville Elementary,"507 Miller St, Burkeville, VA 23922",434-767-5236,Mrs. Carrie Gravely,PK-KG,Nottoway County Public Schools
Burlington Elementary,"6533 Peters Creek Rd, Roanoke, VA 24019",540-561-8165,Ms. Amy Shank,PK-5,Roanoke County Public Schools
Burnley-Moran Elementary,"1300 Long Street, Charlottesville, VA 22901-4936",434-245-2413,Dr. Dawn M. Locasale,PK-4,Charlottesville Public Schools
Burnt Chimney Elementary,"80 Burnt Chimney Road, Wirtz, VA 24184",540-721-2936,Mr. Derek Bryant,PK-5,Franklin County Public Schools
Burton Center for Arts and Technology,"1760 Boulevard, Salem, VA 24153",540-857-5000, ,,Roanoke County Public Schools
Bush Hill Elementary,"5927 Westchester St, Alexandria, VA 22310",703-924-5600,Ms. Cecelia K Breazeale,PK-6,Fairfax County Public Schools
Butts Road Intermediate,"1571 Mt Pleasant Rd, Chesapeake, VA 23322",757-482-4566,Mrs. Mindy Green,3-5,Chesapeake Public Schools
Butts Road Primary,"1000 Mt Pleasant Rd, Chesapeake, VA 23322",757-482-5820,Mr. James S. Lewter,PK-2,Chesapeake Public Schools
Byrd Elementary,"2704 Hadensville Fife Rd, Goochland, VA 23063",804-556-5380,Mr. James B. Hopkins,PK-5,Goochland County Public Schools
C. Alton Lindsay Middle,"1636 Briarfield Rd, Hampton, VA 23661",757-825-4560,Ms. Angela N. Byrd-Wright,6-8,Hampton Public Schools
C. Hunter Ritchie Elementary,"4416 Broad Run Church Rd, New Baltimore, VA 20187",540-422-7650,Christy Thorpe,PK-5,Fauquier County Public Schools
C.A. Sinclair Elementary,"7801 Garner Dr, Manassas, VA 20109",703-361-4811,Donna T. Fagerholm,PK-5,Prince William County Public Schools
C.C. Wells Elementary,"13101 S. Chester Rd., Chester, VA 23831-4553",804-768-6265,Ms. Robin Morgan,PK-5,Chesterfield County Public Schools
C.D. Hylton High,"14051 Spriggs Rd, Woodbridge, VA 22193",703-580-4000,Mr. David Cassady,9-12,Prince William County Public Schools
C.E. Curtis Elementary,"3600 W Hundred Rd, Chester, VA 23831-1926",804-768-6175,Susan Pereira,PK-5,Chesterfield County Public Schools
C.M. Bradley Elementary,"674 Hastings Ln, Warrenton, VA 20186",540-422-7510,Banks Beth,PK-5,Fauquier County Public Schools
Callaghan Elementary,"4050 Midland Trail, Covington, VA 24426",540-965-1810,Mrs. Nancy M. Moga,KG-5,Alleghany County Public Schools
Callaway Elementary,"8451 Callaway Rd, Callaway, VA 24067",540-483-0364,Mr. Jason Guilliams,PK-5,Franklin County Public Schools
Camelot Elementary,"2901 Guenevere Dr, Chesapeake, VA 23323",757-558-5347,Dr. Karen Cooper-Collins,PK-5,Chesapeake Public Schools
Camelot Elementary,"8100 Guinevere Dr, Annandale, VA 22003",703-645-7000,Ms. Aileen K Flaherty,PK-6,Fairfax County Public Schools
Cameron Elementary,"3434 Campbell Dr, Alexandria, VA 22303",703-329-2100,Jeannie McCurry,PK-6,Fairfax County Public Schools
Camp Allen Elementary,"501 C St., Norfolk, VA 23505",757-451-4170,Ms. Deena Copeland,PK-5,Norfolk Public Schools
Campbell County Technical Center,"194 Dennis Riddle Rd, Rustburg, VA 24588",434-821-6213,Mr. Jon Hardie,,Campbell County Public Schools
Campbell Court Elementary,"220 Campbell Ct, Bassett, VA 24055",276-629-5344,Mrs. Pattie B. Walmsley,PK-5,Henry County Public Schools
Campbell Elementary,"737 S. Carlin Springs Rd., Arlington, VA 22204",703-228-6770,Ms. Maureen Nesselrode,PK-5,Arlington County Public Schools
Campostella Elementary,"2600 E Princess Anne Rd, Norfolk, VA 23504",757-628-2555,Dr. Rhonda Ambrose,PK-5,Norfolk Public Schools
Canterbury Woods Elementary,"4910 Willet Dr, Annandale, VA 22003",703-764-5600,Ms. Barbara Messinger,PK-6,Fairfax County Public Schools
Capron Elementary,"18414 Southampton Pky, Capron, VA 23829",434-658-4348,Mrs. Allison Francis,PK-5,Southampton County Public Schools
Captain John Smith Elementary,"379 Woodland Rd, Hampton, VA 23669",757-850-5088,Ms. Elizabeth W. Franks,PK-5,Hampton Public Schools
Cardinal Forest Elementary,"8600 Forrester Blvd, Springfield, VA 22152",703-923-5200,Ms. Karen H. Kenna,PK-6,Fairfax County Public Schools
Career & Technical Education Center,"255 Stanley St, Abingdon, VA 24210",276-739-3100,Mr. Brian Johnson,,Washington County Public Schools
Carl B. Hutcherson Building,"2401 High Street, Lynchburg, VA 24501",434-522-3756,Ms. Polly P. Smith,,Lynchburg Public Schools
Carlin Springs Elementary,"5995 South 5th Road, Arlington, VA 22204",703-228-6645,Ms. Corina Coronel,PK-5,Arlington County Public Schools
Caroline High,"19155 Rodgers Clark Blvd, Milford, VA 22514",804-633-9886,Mr. Jeff Wick,9-12,Caroline County Public Schools
Caroline Middle,"13325 Devils Three Jump Road, Milford, VA 22514",804-633-6561,Angela Wright,6-8,Caroline County Public Schools
Carroll County Education Center,"205 Oak Street, Hillsville, VA 24343",276-728-9055,Mr. Jesse DA Woods,,Carroll County Public Schools
Carroll County High,"100 Cavs Lane, Hillsville, VA 24343",276-728-2125,Mr. Charles T. Thompson,9-12,Carroll County Public Schools
Carroll County Middle School,"1036 N. Main Street, Hillsville, VA 24343",276-728-4211,Mr. Marc G. Quesenberry,6-8,Carroll County Public Schools
Carrollton Elementary,"14440 New Towne Haven Ln, Carrollton, VA 23314",757-238-2452,Mr. Kevin Goetz,PK-3,Isle of Wight County Public Schools
Carrsville Elementary,"5355 Carrsville Hwy, Carrsville, VA 23315",757-562-4054,Ms. Laura Matthews,PK-5,Isle of Wight County Public Schools
Carson Middle,"13618 McLearen Rd, Herndon, VA 20171",703-925-3600,Mr. August Frattali,7-8,Fairfax County Public Schools
Carter G. Woodson Middle,"1000 Winston Churchill Drive, Hopewell, VA 23860",804-541-6404,Mr. Shannon Royster,6-8,Hopewell Public Schools
Carver Elementary,"220 Trott Circle, Martinsville, VA 24112",276-957-2226,Mrs. Judy Edmonds,PK-5,Henry County Public Schools
Carver Elementary,"6160 Jefferson Ave, Newport News, VA 23605",757-591-4950,Ms. Izzie Brown,PK-5,Newport News Public Schools
Carver Middle,"3800 Cougar Trail, Chester, VA 23831",804-524-3620,Mr. Donald Ashburn,6-8,Chesterfield County Public Schools
Carysbrook Elementary,"9172 James Madison Highway, Fork Union, VA 23055",434-842-1241,Mr. Donald Stribling,3-4,Fluvanna County Public Schools
Cashell Donahoe Elementary,"1801 Graves Rd, Sandston, VA 23150",804-328-4035,Mr. Joseph D. Koontz,PK-5,Henrico County Public Schools
Cassell Elementary,"1301 Rockfish Rd, Waynesboro, VA 22980",540-946-7635,Dr. Mindy G. Garber,PK-5,Augusta County Public Schools
Castlewood Elementary,"242 Blue Devil Circle, Castlewood, VA 24224",276-762-2315, ,1-7,Russell County Public Schools
Castlewood High,"304 Blue Devil Circle, Castlewood, VA 24224",276-762-9449,Dr. Thomas Graves,8-12,Russell County Public Schools
Catoctin Elementary,"311 Catoctin Circle SW, Leesburg, VA 20175",571-252-2940,Ms. Jennifer Rueckert,PK-5,Loudoun County Public Schools
Cave Spring Elementary,"5404 Springlawn Ave, Roanoke, VA 24018",540-772-7558,Ms. Jodi Poff,PK-5,Roanoke County Public Schools
Cave Spring High,"3712 Chaparral Dr, Roanoke, VA 24018",540-772-7550,Mr. Steve Spangler,9-12,Roanoke County Public Schools
Cave Spring Middle,"4880 Brambleton Ave, Roanoke, VA 24018",540-772-7560,Mr. Steve Boyer,6-8,Roanoke County Public Schools
Cedar Bluff Elementary,"1089 Cedar Valley Drive, Cedar Bluff, VA 24609-1400",276-963-5765,Ms. Charity McDaniel,PK-5,Tazewell County Public Schools
Cedar Forest Elementary,"3412 Massaponax Church Road, Fredericksburg, VA 22408",540-834-4569,Mr. David O. Strawn II,PK-5,Spotsylvania County Public Schools
Cedar Lane Elementary,"43700 Tolamac Dr, Ashburn, VA 20147",571-252-2120,Robert Marple,PK-5,Loudoun County Public Schools
Cedar Lane School,"101 Cedar Ln SW, Vienna, VA 22180",703-208-2400,Mr. Thomas P. Lundy,,Fairfax County Public Schools
Cedar Lee Middle,"11138 Marsh Road, Bealeton, VA 22712",540-439-3207,Mr. Steven Parker,6-8,Fauquier County Public Schools
Cedar Point Elementary,"12601 Braemar Parkway, Bristow, VA 20136",703-365-0963,Mark Anthony Marinoble,PK-5,Prince William County Public Schools
Cedar Road Elementary,"1605 Cedar Rd, Chesapeake, VA 23322",757-547-0166,Mr. Michael R. Bailey,PK-5,Chesapeake Public Schools
Center for Diversified Studies,"2204 Mountain Road, Glen Allen, VA 23060",804-261-5058, ,,Henrico County Public Schools
Centerville Elementary,"2201 Centerville Tnpk, Virginia Beach, VA 23464-5040",757-648-2200,Mr. Thomas H. Chowns,PK-5,Virginia Beach Public Schools
Central Academy Middle,"367 Poor Farm Rd, Fincastle, VA 24090",540-473-8333,Mr. Timothy A. McClung,6-8,Botetourt County Public Schools
Central Elementary,"575 Union Hill Rd, Amherst, VA 24521",434-946-9700,Mrs. Kathleen M Pierce,PK-5,Amherst County Public Schools
Central Elementary,"3340 Central Plains Road, Palmyra, VA 22963",434-589-8318,Ms. Sue Davies,1-2,Fluvanna County Public Schools
Central Elementary School,"85 Central Road, Lexington, VA 24450",540-463-4500,Mr. Ryan N. Barber,PK-5,Rockbridge County Public Schools
Central High,"17024 The Trail, King And Queen C H, VA 23085",804-785-6102,Mr. Antione Monroe,8-12,King and Queen County Public Schools
Central High,"131 K-V Rd, Victoria, VA 23974-9518",434-696-2137,Mrs. Frances Ball,9-12,Lunenburg County Public Schools
Central High,"1147 Susan Avenue, Woodstock, VA 22664",540-459-2161,Ms. Melissa D Hensley,9-12,Shenandoah County Public Schools
Central High,"301 Industrial Park Road, Norton, VA 24273",276-328-8015,Charles W. Collins,9-12,Wise County Public Schools
Central Middle,"250 Statesman Dr, Charlotte Court House, VA 23923",434-542-4536,Mr. Scott Shep Critzer,6-8,Charlotte County Public Schools
Centre Ridge Elementary,"14400 New Braddock Rd, Centreville, VA 20121-3440",703-227-2600,Ms. Margo R Pareja,PK-6,Fairfax County Public Schools
Centreville Elementary,"14330 Green Trails Blvd, Centreville, VA 20121-3879",703-502-3500,Mr. Dwayne Young,PK-6,Fairfax County Public Schools
Centreville High,"6001 Union Mill Rd, Clifton, VA 20124-1131",703-802-5400,Mr. Martin E Grimm,9-12,Fairfax County Public Schools
Cesar Tarrant Elementary,"1589 Wingfield Dr, Hampton, VA 23666",757-825-4639,Mr. John C. Elling,PK-5,Hampton Public Schools
Chamberlayne Elementary,"8200 St Charles Rd, Richmond, VA 23227",804-261-5030,Ms. Muriel L. Brinkley,PK-5,Henrico County Public Schools
Chancellor Elementary,"5995 Plank Rd, Fredericksburg, VA 22407",540-786-6123,Shawn D. Hudson,PK-5,Spotsylvania County Public Schools
Chancellor High,"6300 Harrison Rd, Fredericksburg, VA 22407",540-786-2606,Mrs. Jacqueline M. Bass-Fortune,9-12,Spotsylvania County Public Schools
Chancellor Middle,"6320 Harrison Rd, Fredericksburg, VA 22407",540-786-8099,Cynthia L. Franzen,6-8,Spotsylvania County Public Schools
Chantilly High,"4201 Stringfellow Rd, Chantilly, VA 20151-2600",703-222-8100,Ms. Teresa L Johnson,9-12,Fairfax County Public Schools
Chantilly High School Academy,"4201 Stringfellow Rd, Chantilly, VA 20151",703-222-8100, ,,Fairfax County Public Schools
Charles Barrett Elementary,"1115 Martha Custis Dr, Alexandria, VA 22302",703-824-6960,Mr. Seth Kennard,KG-5,Alexandria Public Schools
Charles City County Elementary,"10049 Courthouse Rd, Charles City, VA 23030-3440",804-829-9256,Ms. Latonia Y. Anderson,PK-5,Charles City County Public Schools
Charles City County High,"10039 Courthouse Rd, Charles City, VA 23030-3440",804-829-9249,Mrs. Stephannie F. Crutchfield,9-12,Charles City County Public Schools
Charles City County Middle,"10035 Courthouse Rd, Charles City, VA 23030-3440",804-829-9252,Dr. Brenda M. Petteway,6-8,Charles City County Public Schools
Charles M. Johnson Elementary,"5600 Bethlehem Rd, Richmond, VA 23230",804-673-3735,Ms. Kimberly L. Sower,PK-5,Henrico County Public Schools
Charlottesville Alternative,"715 Henry Avenue, Charlottesville, VA 22903-5225",434-245-2406,Mr. Troy N Duke,,Charlottesville Public Schools
Charlottesville High,"1400 Melbourne Road, Charlottesville, VA 22901-3148",434-245-2410,Mrs. Jill Dahl,9-12,Charlottesville Public Schools
Chase City Elementary,"5450 Highway Forty-Seven, Chase City, VA 23924",434-372-4770,Mr. Frederick Taylor,PK-5,Mecklenburg County Public Schools
Chatham Elementary,"245 Chatham Elementary Lane, Chatham, VA 24531",434-432-6461,Mrs. Jenny D. Eaton,PK-5,Pittsylvania County Public Schools
Chatham High,"100 Cavalier Cir, Chatham, VA 24531",434-432-8305,Mr. Randy T. Foster,9-12,Pittsylvania County Public Schools
Chatham Middle,"11650 US Highway 29 North, Chatham, VA 24531",434-432-2169,Mr. Cedric J. Hairston,6-8,Pittsylvania County Public Schools
Check Elementary,"6810 Floyd Highway North, Check, VA 24072",540-745-9464,Mrs. Jessica Cromer,PK-7,Floyd County Public Schools
Cherry Run Elementary,"9732 Ironmaster Dr, Burke, VA 22015",703-923-2800,Mr. Mark E Bibbee,PK-6,Fairfax County Public Schools
Chesapeake Alternative,"605 Providence Road, Chesapeake, VA 23325",757-578-7046,Dr. Penny K. Schultz,,Chesapeake Public Schools
Chesapeake Center for Science &Technology,"1617 Cedar Rd, Chesapeake, VA 23322",757-547-0134,Mr. William O. Joe,,Chesapeake Public Schools
Chesterbrook Elementary,"1753 Kirby Rd, Mclean, VA 22101",703-714-8200,Mr. Robert Fuqua,PK-6,Fairfax County Public Schools
Chesterfield Academy Elementary,"2915 Westminster Ave, Norfolk, VA 23504",757-628-2544,Dr. Sandra Witcher,PK-5,Norfolk Public Schools
Chesterfield Community High,"12400 Branders Bridge Road, Chester, VA 23831",804-768-6156,Dr. Kenneth Butta,9-12,Chesterfield County Public Schools
Chesterfield Tech.,"10101 Courthouse Rd, Chesterfield, VA 23832-0010",804-768-6160,Dr. Colleen Bryant,,Chesterfield County Public Schools
Chickahominy Middle,"9450 Atlee Station Road, Mechanicsville, VA 23116",804-723-2160,Mr. Mark Beckett,6-8,Hanover County Public Schools
Chilhowie Elementary,"130 Lee Hwy, Chiilhowie, VA 24319",276-646-8220,Mr. Sanders Henderson,PK-5,Smyth County Public Schools
Chilhowie High,"1160 Lee Hwy, Chilhowie, VA 24319",276-646-8966,Mr. Michael L. Sturgill,9-12,Smyth County Public Schools
Chilhowie Middle,"1160 Lee Hwy, Chilhowie, VA 24319",276-646-3942,Mr. Sam Blevins,6-8,Smyth County Public Schools
Chimborazo Elementary,"3000 E Marshall St, Richmond, VA 23223-7499",804-780-8392,Mrs. Cheryl L. Burke,PK-5,Richmond Public Schools
Chincoteague Elementary,"6078 Hallie Whealton Smith Dr, Chincoteague, VA 23336",757-336-5545,Ms. Karen Riner,PK-5,Accomack County Public Schools
Chincoteague High,"4586 Main St, Chincoteague, VA 23336",757-336-6166,Mr. Warren C. Holland,6-12,Accomack County Public Schools
Christiansburg Elementary,"160 Wades Lane, Christiansburg, VA 24073",540-382-5172,Ms. Kelly Roark,3-5,Montgomery County Public Schools
Christiansburg High,"100 Independence Blvd, Christiansburg, VA 24073",540-382-5178,Dr. Kevin Siers,9-12,Montgomery County Public Schools
Christiansburg Middle,"1205 Buffalo Drive, NW, Christiansburg, VA 24073",540-394-2180,Mr. Mark B Baetz,6-8,Montgomery County Public Schools
Christiansburg Primary,"240 Betty Drive, Christiansburg, VA 24073",540-382-5175,Mr. Oliver Lewis,PK-2,Montgomery County Public Schools
Christopher C. Kraft Elementary,"600 Concord Dr, Hampton, VA 23666",757-825-4634,Ms. Brenda E. McIntyre-Odoms,KG-5,Hampton Public Schools
Christopher Farms Elementary,"2828 Pleasant Acres Dr, Virginia Beach, VA 23453",757-648-2240,Teri A. Breaux,PK-5,Virginia Beach Public Schools
